dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm,run_id,algorithm_seed
synthetic_dataset_with_parallel_drifts_incremental,2000,HD,0.723725,0.7251498533103425,0.723725,0.7232916333149697,5,40,0.7237349077334317,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2000,JS,0.723725,0.7251498533103425,0.723725,0.7232916333149697,5,40,0.7237349077334317,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,Base,0.725625,0.7266347869766776,0.725625,0.7253227022775671,0,32,0.7256333078520816,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,KS95,0.7256625,0.7267554184587134,0.7256625,0.7253353505639302,6,32,0.7256711422294464,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,KS90,0.7256,0.726575038079879,0.7256,0.7253080750719905,8,32,0.7256081641005103,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,HD,0.724525,0.7254283112304604,0.724525,0.7242522636690505,4,32,0.7245328765333048,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,JS,0.725075,0.7260762919026366,0.725075,0.7247739216639979,4,32,0.7250832828177052,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,Base,0.71555,0.7166133084588391,0.71555,0.7152046131188603,0,80,0.71555871972242,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,KS95,0.7238875,0.724350494188234,0.7238875,0.7237474968351009,24,80,0.7238931421183215,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,KS90,0.723725,0.7242288565628975,0.723725,0.7235723480404472,30,80,0.7237308889831805,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,HD,0.722775,0.7228919359019254,0.722775,0.7227399137001003,20,80,0.7227778264236142,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,JS,0.7223625,0.7225367236494984,0.7223625,0.7223097169414507,20,80,0.7223659607728725,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,Base,0.7152125,0.7159716734717131,0.7152125,0.7149655049456379,0,53,0.7152198728262421,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,KS95,0.7194125,0.7203617472892971,0.7194125,0.7191137631919488,26,53,0.7194206668387917,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,KS90,0.71985,0.7205706055426881,0.71985,0.7196242640798772,28,53,0.7198571074910693,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,HD,0.7170625,0.7175438059500472,0.7170625,0.7169086529087696,14,53,0.7170683416917714,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,JS,0.7170625,0.7175438059500472,0.7170625,0.7169086529087696,14,53,0.7170683416917714,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,Base,0.7139875,0.7146377371735202,0.7139875,0.7137739891458834,0,40,0.7139943414996464,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,KS95,0.71225,0.7137068861848873,0.71225,0.7117637100040902,20,40,0.7122602820162677,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,KS90,0.7149375,0.7155484566854889,0.7149375,0.7147385015939133,24,40,0.7149441165590072,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,HD,0.714475,0.7148417261447872,0.714475,0.7143555478461588,14,40,0.7144801259050079,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,JS,0.71445,0.714814021818481,0.71445,0.7143314124279337,14,40,0.7144551071534442,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2500,Base,0.714025,0.714590079341584,0.714025,0.7138396588763497,0,32,0.7140313758769611,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2500,KS95,0.710775,0.7109988372497177,0.710775,0.7107002481351886,16,32,0.7107790319236895,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2500,KS90,0.7102,0.7105321738021156,0.7102,0.7100880635545836,17,32,0.7102049256378078,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2500,HD,0.711975,0.7125884587434347,0.711975,0.7117702986419421,11,32,0.7119816757488547,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2500,JS,0.711975,0.7125884587434347,0.711975,0.7117702986419421,11,32,0.7119816757488547,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1000,Base,0.7302875,0.7307531227038875,0.7302875,0.7301537640601802,0,80,0.7302930800183176,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1000,KS95,0.7326,0.7328643510952861,0.7326,0.732525854634333,6,80,0.732604177037761,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1000,KS90,0.7326125,0.7329447749703457,0.7326125,0.7325190942204379,16,80,0.7326171864135742,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1000,HD,0.732725,0.7329167559800719,0.732725,0.7326714791799057,4,80,0.7327285520455344,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1000,JS,0.732725,0.7329167559800719,0.732725,0.7326714791799057,4,80,0.7327285520455344,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1500,Base,0.7303375,0.7307836949727207,0.7303375,0.7302094366353895,0,53,0.730342961271435,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1500,KS95,0.7314125,0.731864846803149,0.7314125,0.7312837729895574,3,53,0.7314179863386241,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1500,KS90,0.732875,0.7331188533974077,0.732875,0.7328068165776652,8,53,0.7328790083049381,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1500,HD,0.731525,0.7319233531475098,0.731525,0.7314118551351331,6,53,0.7315301457206341,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1500,JS,0.731525,0.7319233531475098,0.731525,0.7314118551351331,6,53,0.7315301457206341,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2000,Base,0.7302375,0.7307187297901946,0.7302375,0.7300991925978062,0,40,0.7302431737651984,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2000,KS95,0.7292875,0.7296674121746609,0.7292875,0.7291776812105323,7,40,0.7292925487057843,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2000,KS90,0.7300625,0.7304008399792249,0.7300625,0.7299654066078846,11,40,0.7300672550042036,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2000,HD,0.7302375,0.7307187297901946,0.7302375,0.7300991925978062,0,40,0.7302431737651984,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2000,JS,0.7302375,0.7307187297901946,0.7302375,0.7300991925978062,0,40,0.7302431737651984,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2500,Base,0.7304125,0.7309154579426835,0.7304125,0.7302681057193547,0,32,0.7304182987761436,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2500,KS95,0.7311875,0.7316072075412274,0.7311875,0.7310679153950288,1,32,0.7311927863245491,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2500,KS90,0.7303625,0.7307039361820397,0.7303625,0.7302647454978807,5,32,0.7303672737729546,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2500,HD,0.7304125,0.7309154579426835,0.7304125,0.7302681057193547,0,32,0.7304182987761436,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2500,JS,0.7304125,0.7309154579426835,0.7304125,0.7302681057193547,0,32,0.7304182987761436,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1000,Base,0.7,0.7079471777628331,0.7,0.6971350845283769,0,80,0.7000559920810123,1.0,parallel_abrupt,synthetic,NB,24,24042
