dataset,batch_size,technique,phase,duration_seconds,type
Incremental (bal.),1000,JSDDM,drift_detection,1.3554809170018416,technique_timing
Incremental (bal.),1500,HDDDM,drift_detection,1.3489767499850132,technique_timing
Incremental (bal.),1500,KSDDM_95,drift_detection,3.9026486669899896,technique_timing
Incremental (bal.),1500,KSDDM_90,drift_detection,3.840450707997661,technique_timing
Incremental (bal.),1500,JSDDM,drift_detection,1.1271496250119526,technique_timing
Incremental (bal.),2000,HDDDM,drift_detection,1.2230264999961946,technique_timing
Incremental (bal.),2000,KSDDM_95,drift_detection,3.6512526249862276,technique_timing
Incremental (bal.),2000,KSDDM_90,drift_detection,3.3809082089865115,technique_timing
Incremental (bal.),2000,JSDDM,drift_detection,1.0851777080097236,technique_timing
Incremental (bal.),2500,HDDDM,drift_detection,1.1658795420080423,technique_timing
Incremental (bal.),2500,KSDDM_95,drift_detection,3.2876650000107475,technique_timing
Incremental (bal.),2500,KSDDM_90,drift_detection,3.3693657080002595,technique_timing
Incremental (bal.),2500,JSDDM,drift_detection,1.0380618750059512,technique_timing
Incremental (imbal.),1000,HDDDM,drift_detection,10.864221499999985,technique_timing
Incremental (imbal.),1000,KSDDM_95,drift_detection,52.3258622919966,technique_timing
Incremental (imbal.),1000,KSDDM_90,drift_detection,37.96091229200829,technique_timing
Incremental (imbal.),1000,JSDDM,drift_detection,9.589525666990085,technique_timing
Incremental (imbal.),1500,HDDDM,drift_detection,8.698138666979503,technique_timing
Incremental (imbal.),1500,KSDDM_95,drift_detection,43.175041999988025,technique_timing
Incremental (imbal.),1500,KSDDM_90,drift_detection,33.35810491599841,technique_timing
Incremental (imbal.),1500,JSDDM,drift_detection,7.348606916988501,technique_timing
Incremental (imbal.),2000,HDDDM,drift_detection,7.906827583006816,technique_timing
Incremental (imbal.),2000,KSDDM_95,drift_detection,32.40140299999621,technique_timing
Incremental (imbal.),2000,KSDDM_90,drift_detection,28.566355332994135,technique_timing
Incremental (imbal.),2000,JSDDM,drift_detection,6.572176374989795,technique_timing
Incremental (imbal.),2500,HDDDM,drift_detection,7.2707600420108065,technique_timing
Incremental (imbal.),2500,KSDDM_95,drift_detection,29.711614750005538,technique_timing
Incremental (imbal.),2500,KSDDM_90,drift_detection,29.43734162498731,technique_timing
Incremental (imbal.),2500,JSDDM,drift_detection,6.505964249983663,technique_timing
Incremental-gradual (bal.),1000,HDDDM,drift_detection,0.7411525409843307,technique_timing
Incremental-gradual (bal.),1000,KSDDM_95,drift_detection,1.9887230829917826,technique_timing
Incremental-gradual (bal.),1000,KSDDM_90,drift_detection,1.8199019169842359,technique_timing
Incremental-gradual (bal.),1000,JSDDM,drift_detection,0.6662970409961417,technique_timing
Incremental-gradual (bal.),1500,HDDDM,drift_detection,0.6236443749803584,technique_timing
Incremental-gradual (bal.),1500,KSDDM_95,drift_detection,2.39508937500068,technique_timing
Incremental-gradual (bal.),1500,KSDDM_90,drift_detection,2.4443293329968583,technique_timing
Incremental-gradual (bal.),1500,JSDDM,drift_detection,0.5584476669901051,technique_timing
Incremental-gradual (bal.),2000,HDDDM,drift_detection,0.5896219160058536,technique_timing
Incremental-gradual (bal.),2000,KSDDM_95,drift_detection,2.052599042013753,technique_timing
Incremental-gradual (bal.),2000,KSDDM_90,drift_detection,2.019829833006952,technique_timing
Incremental-gradual (bal.),2000,JSDDM,drift_detection,0.5245458330027759,technique_timing
Incremental-gradual (bal.),2500,HDDDM,drift_detection,0.5927795410098042,technique_timing
Incremental-gradual (bal.),2500,KSDDM_95,drift_detection,2.1969525839958806,technique_timing
Incremental-gradual (bal.),2500,KSDDM_90,drift_detection,2.211138916987693,technique_timing
Incremental-gradual (bal.),2500,JSDDM,drift_detection,0.49364958301885054,technique_timing
Incremental-gradual (imbal.),1000,HDDDM,drift_detection,3.2205584579787683,technique_timing
Incremental-gradual (imbal.),1000,KSDDM_95,drift_detection,12.139491708978312,technique_timing
Incremental-gradual (imbal.),1000,KSDDM_90,drift_detection,11.098142625007313,technique_timing
Incremental-gradual (imbal.),1000,JSDDM,drift_detection,2.796812125016004,technique_timing
Incremental-gradual (imbal.),1500,HDDDM,drift_detection,2.6978438340011053,technique_timing
Incremental-gradual (imbal.),1500,KSDDM_95,drift_detection,10.198768000002019,technique_timing
Incremental-gradual (imbal.),1500,KSDDM_90,drift_detection,9.624489750014618,technique_timing
Incremental-gradual (imbal.),1500,JSDDM,drift_detection,2.3710776660009287,technique_timing
Incremental-gradual (imbal.),2000,HDDDM,drift_detection,2.544861582980957,technique_timing
Incremental-gradual (imbal.),2000,KSDDM_95,drift_detection,9.49078329099575,technique_timing
Incremental-gradual (imbal.),2000,KSDDM_90,drift_detection,8.977550500014331,technique_timing
Incremental-gradual (imbal.),2000,JSDDM,drift_detection,2.1794417909986805,technique_timing
Incremental-gradual (imbal.),2500,HDDDM,drift_detection,2.31293329197797,technique_timing
Incremental-gradual (imbal.),2500,KSDDM_95,drift_detection,9.024776667007245,technique_timing
Incremental-gradual (imbal.),2500,KSDDM_90,drift_detection,8.921953791985288,technique_timing
Incremental-gradual (imbal.),2500,JSDDM,drift_detection,2.163587707997067,technique_timing
Incremental-abrupt-reoccurring (bal.),1000,HDDDM,drift_detection,1.4224657919839956,technique_timing
Incremental-abrupt-reoccurring (bal.),1000,KSDDM_95,drift_detection,4.139367124997079,technique_timing
