dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm,run_id,algorithm_seed
synthetic_dataset_with_parallel_drifts_abrupt,2500,KS95,0.7083125,0.7106556382737022,0.7083125,0.7075140430896999,22,32,0.7083426126332764,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2500,KS90,0.7083125,0.7106556382737022,0.7083125,0.7075140430896999,22,32,0.7083426126332764,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2500,HD,0.728175,0.7282794387982017,0.728175,0.7281465306481192,5,32,0.7281809620048305,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2500,JS,0.7290375,0.7298988758687764,0.7290375,0.7287909915590252,2,32,0.7290549119812803,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1000,Base,0.7691,0.769191156612416,0.7691,0.7690786817998532,0,80,0.7690945617818894,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1000,KS95,0.7504625,0.7507590381530481,0.7504625,0.7503849792677525,45,80,0.7504524484308408,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1000,KS90,0.7504625,0.7510418579843872,0.7504625,0.7503132551550169,48,80,0.7504485240545433,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1000,HD,0.7607625,0.7612061363695471,0.7607625,0.760656716638877,8,80,0.7607504968356331,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1000,JS,0.760525,0.7617891177916548,0.760525,0.7602285600304929,9,80,0.7605048676919218,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1500,Base,0.7694625,0.7695501025171297,0.7694625,0.7694420383349511,0,53,0.7694571697142768,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1500,KS95,0.7570125,0.7575410938559158,0.7570125,0.7568830693791939,29,53,0.7569993168453991,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1500,KS90,0.75725,0.7577238625985392,0.75725,0.7571339361692857,36,53,0.7572375141116531,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1500,HD,0.7664625,0.7669822935226275,0.7664625,0.7663444923842336,2,53,0.7664496649699204,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1500,JS,0.7664625,0.7669822935226275,0.7664625,0.7663444923842336,2,53,0.7664496649699204,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2000,Base,0.76875,0.768811704778348,0.76875,0.76873526431909,0,40,0.7687454960414796,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2000,KS95,0.7614375,0.7621827351191686,0.7614375,0.7612625091193492,21,40,0.7614220183076548,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2000,KS90,0.7572625,0.7578236972974962,0.7572625,0.7571255217964791,27,40,0.7572489288029272,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2000,HD,0.766375,0.7665530778988932,0.766375,0.7663334523019031,2,40,0.7663674190052279,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2000,JS,0.766375,0.7665530778988932,0.766375,0.7663334523019031,2,40,0.7663674190052279,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2500,Base,0.7686625,0.76873500660173,0.7686625,0.768645308414706,0,32,0.7686576294499288,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2500,KS95,0.76115,0.7616643935902225,0.76115,0.7610280958411191,15,32,0.7611370985259531,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2500,KS90,0.75965,0.7601498729155453,0.75965,0.7595300324813143,21,32,0.7596372417800631,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2500,HD,0.7686625,0.76873500660173,0.7686625,0.768645308414706,0,32,0.7686576294499288,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2500,JS,0.7686625,0.76873500660173,0.7686625,0.768645308414706,0,32,0.7686576294499288,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_incremental,1000,Base,0.768825,0.7688831098274262,0.768825,0.7688110884318394,0,80,0.7688206254413193,1.0,parallel_incremental,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_incremental,1000,KS95,0.7547375,0.754949664832696,0.7547375,0.7546834219811737,23,80,0.7547290454697907,1.0,parallel_incremental,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_incremental,1000,KS90,0.755725,0.7560894718365047,0.755725,0.7556341131945621,25,80,0.7557139942329393,1.0,parallel_incremental,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_incremental,1000,HD,0.763175,0.7641690878623936,0.763175,0.7629459186557223,9,80,0.7631572116938531,1.0,parallel_incremental,synthetic,NB,24,24042
